gameid,league,split,playoffs,game,patch,blue_team,red_team,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
5655-7249,LPL,Spring,0,1,10.1,Invictus Gaming,FunPlus Phoenix,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,Aphelios,Akali,Lucian,Varus,Xayah,Aatrox,Qiyana,Rumble,Senna,Braum,Ornn,Jarvan IV,Ryze,Miss Fortune,Leona,1
5655-7250,LPL,Spring,0,2,10.1,Invictus Gaming,FunPlus Phoenix,Pantheon,Nautilus,Rumble,Ryze,Leona,Aphelios,Akali,Lucian,Elise,Gragas,Aatrox,Qiyana,Orianna,Varus,Braum,Fiora,Jarvan IV,Mordekaiser,Miss Fortune,Thresh,0
5656-7252,LPL,Spring,0,1,10.1,LGD Gaming,LNG Esports,Pantheon,Elise,Rumble,Mordekaiser,Ornn,Akali,Qiyana,Lucian,Thresh,Yasuo,Renekton,Gragas,Irelia,Aphelios,Braum,Aatrox,Jarvan IV,LeBlanc,Miss Fortune,Leona,1
5655-7251,LPL,Spring,0,3,10.1,Invictus Gaming,FunPlus Phoenix,Pantheon,Nautilus,Rumble,Ryze,Gangplank,Aphelios,Akali,Lucian,Gragas,Aatrox,Ornn,Qiyana,Orianna,Varus,Braum,Mordekaiser,Jarvan IV,Diana,Miss Fortune,Leona,1
5656-7253,LPL,Spring,0,2,10.1,LNG Esports,LGD Gaming,Qiyana,Gragas,Elise,Mordekaiser,Ornn,Akali,Aphelios,Pantheon,Ryze,Orianna,Aatrox,Jarvan IV,Zoe,Miss Fortune,Leona,Renekton,Lee Sin,Rumble,Varus,Braum,1
5656-7254,LPL,Spring,0,3,10.1,LGD Gaming,LNG Esports,Pantheon,Elise,Rumble,Thresh,Lissandra,Akali,Qiyana,Gragas,Fiora,Lucian,Aatrox,Rek'Sai,LeBlanc,Aphelios,Leona,Mordekaiser,Jarvan IV,Ryze,Miss Fortune,Braum,0
5657-7255,LPL,Spring,0,1,10.1,eStar,Rogue Warriors,Elise,Qiyana,Pantheon,Renekton,Nocturne,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,Mordekaiser,Olaf,Taliyah,Aphelios,Leona,Gangplank,Gragas,Lucian,Miss Fortune,Nautilus,1
5657-7256,LPL,Spring,0,2,10.1,Rogue Warriors,eStar,Jarvan IV,Rumble,Olaf,Gragas,Braum,Akali,Aphelios,Elise,Quinn,Mordekaiser,Ornn,Taliyah,Pantheon,Miss Fortune,Thresh,Renekton,Qiyana,Ryze,Senna,Tahm Kench,0
5658-7257,LPL,Spring,0,1,10.1,Oh My God,JD Gaming,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,Akali,Lucian,Rumble,Mordekaiser,Irelia,Aatrox,Jarvan IV,Cassiopeia,Aphelios,Braum,Ornn,Kindred,LeBlanc,Caitlyn,Nautilus,0
5658-7258,LPL,Spring,0,2,10.1,Oh My God,JD Gaming,Pantheon,Qiyana,Varus,Ryze,Gragas,Akali,Lucian,Rumble,Jarvan IV,Olaf,Ornn,Elise,Irelia,Aphelios,Thresh,Mordekaiser,Lee Sin,LeBlanc,Miss Fortune,Leona,0
5659-7259,LPL,Spring,0,1,10.1,Vici Gaming,Bilibili Gaming,Pantheon,Rumble,Varus,Irelia,Camille,Akali,Aphelios,Lucian,Mordekaiser,Nautilus,Ornn,Gragas,Jayce,Miss Fortune,Leona,Fiora,Elise,Qiyana,Senna,Braum,0
5659-7260,LPL,Spring,0,2,10.01,Bilibili Gaming,Vici Gaming,Irelia,Pantheon,Lucian,Nautilus,Leona,Akali,Rumble,Olaf,LeBlanc,Gragas,Camille,Qiyana,Orianna,Aphelios,Thresh,Mordekaiser,Elise,Jayce,Xayah,Rakan,0
5659-7261,LPL,Spring,0,3,10.1,Vici Gaming,Bilibili Gaming,Rumble,Pantheon,Olaf,Nautilus,Camille,Akali,Aphelios,Lucian,Mordekaiser,Renekton,Ornn,Elise,Irelia,Kai'Sa,Leona,Gangplank,Qiyana,LeBlanc,Miss Fortune,Braum,0
5660-7262,LPL,Spring,0,1,10.1,Invictus Gaming,Dominus Esports,Pantheon,Elise,Lucian,Rakan,Leona,Akali,Aphelios,Orianna,Gragas,Renekton,Kennen,Qiyana,Ekko,Varus,Braum,Irelia,Jarvan IV,Rumble,Miss Fortune,Nautilus,1
5660-7263,LPL,Spring,0,2,10.1,Dominus Esports,Invictus Gaming,Orianna,Elise,Lucian,Jarvan IV,Gangplank,Aphelios,Qiyana,Pantheon,Ryze,Irelia,Akali,Lee Sin,LeBlanc,Varus,Leona,Kennen,Rek'Sai,Rumble,Miss Fortune,Rakan,0
5661-7265,LPL,Spring,0,1,10.1,Victory Five,EDward Gaming,Rumble,Elise,Qiyana,Pantheon,Irelia,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,Kennen,Olaf,Ryze,Lucian,Braum,Renekton,Taliyah,Cassiopeia,Miss Fortune,Leona,0
5661-7266,LPL,Spring,0,2,10.1,Victory Five,EDward Gaming,Rumble,Qiyana,Elise,Tahm Kench,Thresh,Akali,Aphelios,Pantheon,Mordekaiser,Ornn,LeBlanc,Lee Sin,Lucian,Miss Fortune,Nautilus,Renekton,Taliyah,Lissandra,Senna,Braum,0
5662-7264,LPL,Spring,0,1,10.1,Rogue Warriors,Suning,Irelia,Qiyana,Rumble,Rek'Sai,Camille,Akali,Aphelios,Olaf,Pantheon,Renekton,Aatrox,Gragas,Ryze,Miss Fortune,Leona,Mordekaiser,Lee Sin,Zoe,Senna,Tahm Kench,1
5662-7267,LPL,Spring,0,2,10.1,Suning,Rogue Warriors,Olaf,Ryze,Pantheon,Braum,Nautilus,Akali,Aphelios,Qiyana,Rek'Sai,Jarvan IV,Mordekaiser,Lee Sin,Rumble,Miss Fortune,Leona,Renekton,Taliyah,Aatrox,Lucian,Rakan,0
5663-7268,LPL,Spring,0,1,10.01,FunPlus Phoenix,eStar,Olaf,Miss Fortune,Qiyana,Tahm Kench,Mordekaiser,Akali,Lucian,Elise,Aatrox,Ornn,Renekton,Rek'Sai,Ryze,Aphelios,Nautilus,Rumble,Jarvan IV,Cassiopeia,Senna,Thresh,0
5663-7269,LPL,Spring,0,2,10.1,FunPlus Phoenix,eStar,Olaf,Senna,Rumble,Thresh,Gragas,Akali,Lucian,Elise,Gangplank,Aatrox,Fiora,Lee Sin,Nautilus,Aphelios,Braum,Mordekaiser,Qiyana,Cassiopeia,Miss Fortune,Leona,1
5663-7270,LPL,Spring,0,3,10.1,eStar,FunPlus Phoenix,Lucian,Elise,Akali,Braum,Tahm Kench,Senna,Aphelios,Olaf,Cassiopeia,Thresh,Kennen,Jarvan IV,Rumble,Miss Fortune,Leona,Camille,Qiyana,Mordekaiser,Kai'Sa,Nautilus,1
5664-7277,LPL,Spring,0,1,10.1,LNG Esports,Top Esports,Elise,Gangplank,Qiyana,Leona,Mordekaiser,Akali,Jarvan IV,Olaf,Braum,Ornn,Sett,Rek'Sai,Rumble,Aphelios,Thresh,Vladimir,Gragas,Lucian,Miss Fortune,Nautilus,0
5664-7271,LPL,Spring,0,2,10.1,Top Esports,LNG Esports,Jarvan IV,Gragas,Qiyana,Nautilus,Leona,Akali,Elise,Aphelios,Gangplank,Tahm Kench,Mordekaiser,Lee Sin,Zoe,Senna,Rakan,Ornn,Olaf,Rumble,Miss Fortune,Braum,1
5665-7276,LPL,Spring,0,1,10.1,JD Gaming,Team WE,Elise,Lucian,Rumble,Thresh,Irelia,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,Sett,Nidalee,Qiyana,Varus,Braum,Ornn,Olaf,Zoe,Aphelios,Leona,1
5665-7272,LPL,Spring,0,2,10.1,Team WE,JD Gaming,Gragas,Pantheon,LeBlanc,Lee Sin,Jarvan IV,Akali,Lucian,Rumble,Elise,Renekton,Gangplank,Qiyana,Zoe,Miss Fortune,Braum,Mordekaiser,Rek'Sai,Nautilus,Aphelios,Rakan,0
5666-7273,LPL,Spring,0,1,10.1,Bilibili Gaming,Royal Never Give Up,Pantheon,Senna,Elise,Mordekaiser,Irelia,Akali,Aphelios,Qiyana,Zoe,LeBlanc,Aatrox,Gragas,Lucian,Varus,Braum,Renekton,Rek'Sai,Rumble,Miss Fortune,Rakan,0
5666-7274,LPL,Spring,0,2,10.01,Royal Never Give Up,Bilibili Gaming,Qiyana,Rumble,Elise,Fiora,Camille,Akali,Lucian,Mordekaiser,Shen,Rakan,Aatrox,Lee Sin,LeBlanc,Miss Fortune,Morgana,Gangplank,Gragas,Lissandra,Aphelios,Leona,0
5666-7275,LPL,Spring,0,3,10.1,Bilibili Gaming,Royal Never Give Up,Rakan,Lucian,Elise,LeBlanc,Zoe,Akali,Aphelios,Qiyana,Gragas,Gangplank,Aatrox,Nocturne,Rumble,Senna,Braum,Mordekaiser,Rek'Sai,Sylas,Miss Fortune,Leona,1
5667-7278,LPL,Spring,0,1,10.1,Vici Gaming,Dominus Esports,Aurelion Sol,Cassiopeia,Elise,Nidalee,Gragas,Akali,Mordekaiser,Lucian,Ornn,Irelia,Aatrox,Qiyana,Rumble,Senna,Braum,Renekton,Jarvan IV,Zilean,Aphelios,Leona,0
5667-7279,LPL,Spring,0,2,10.1,Vici Gaming,Dominus Esports,Zilean,Aurelion Sol,Aphelios,Rek'Sai,Lee Sin,Akali,Mordekaiser,Irelia,Thresh,Ornn,Renekton,Jarvan IV,Rumble,Lucian,Nautilus,Jax,Qiyana,Cassiopeia,Miss Fortune,Leona,1
5667-7280,LPL,Spring,0,3,10.1,Vici Gaming,Dominus Esports,LeBlanc,Irelia,Renekton,Gragas,Vladimir,Akali,Mordekaiser,Rumble,Ornn,Jayce,Kennen,Elise,Lucian,Miss Fortune,Leona,Camille,Qiyana,Cassiopeia,Aphelios,Nautilus,1
5668-7281,LPL,Spring,0,1,10.1,EDward Gaming,Top Esports,Gragas,Lucian,Qiyana,Gangplank,Rumble,Akali,Renekton,Elise,LeBlanc,Ornn,Aatrox,Lee Sin,Diana,Senna,Leona,Jax,Jarvan IV,Zoe,Miss Fortune,Nautilus,1
5668-7282,LPL,Spring,0,2,10.1,Top Esports,EDward Gaming,Renekton,Miss Fortune,Aphelios,LeBlanc,Rumble,Akali,Gragas,Elise,Zoe,Kennen,Mordekaiser,Rek'Sai,Orianna,Senna,Braum,Aatrox,Lee Sin,Sylas,Lucian,Leona,1
5668-7283,LPL,Spring,0,3,10.1,EDward Gaming,Top Esports,Gragas,Braum,Senna,Rumble,Mordekaiser,Akali,Renekton,Miss Fortune,Qiyana,Gangplank,Vladimir,Elise,Pantheon,Aphelios,Nautilus,Ornn,Lee Sin,Viktor,Varus,Tahm Kench,0
ESPORTSTMNT01/1270513,LFL,Spring,0,1,10.01,Misfits Premier,IZI Dream,Mordekaiser,Tristana,Thresh,Ornn,Braum,Akali,Lucian,Senna,Elise,Rek'Sai,Irelia,Qiyana,Rumble,Miss Fortune,Leona,Renekton,Lee Sin,Cassiopeia,Varus,Nautilus,1
ESPORTSTMNT01/1270545,LFL,Spring,0,1,10.01,GameWard,Team MCES,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,Lee Sin,Sylas,Akali,Rumble,Aatrox,Mordekaiser,Qiyana,Cassiopeia,Senna,Tahm Kench,Ornn,Rek'Sai,Vel'Koz,Miss Fortune,Thresh,1
ESPORTSTMNT01/1270566,LFL,Spring,0,1,10.01,Solary,GamersOrigin,Elise,Rumble,Qiyana,LeBlanc,Kennen,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,Malphite,Gragas,Azir,Senna,Braum,Vladimir,Jarvan IV,Lucian,Aphelios,Nautilus,0
ESPORTSTMNT01/1270591,LFL,Spring,0,1,10.01,Vitality.Bee,LDLC OL,Mordekaiser,Leona,Aphelios,Gragas,LeBlanc,Akali,Qiyana,Lucian,Renekton,Gangplank,Rumble,Jarvan IV,Cassiopeia,Miss Fortune,Rakan,Camille,Rek'Sai,Zoe,Varus,Braum,1
ESPORTSTMNT01/1280723,LFL,Spring,0,1,10.01,Misfits Premier,GameWard,Mordekaiser,Cassiopeia,Vladimir,Blitzcrank,Leona,Akali,Lucian,Irelia,Qiyana,Jarvan IV,Kennen,Rek'Sai,Rumble,Senna,Tahm Kench,Ornn,Lee Sin,Sylas,Miss Fortune,Bard,0
ESPORTSTMNT01/1280752,LFL,Spring,0,1,10.01,GamersOrigin,IZI Dream,Tristana,Thresh,Lee Sin,Renekton,Ornn,Akali,Lucian,Rumble,Nautilus,Fiora,Gangplank,Qiyana,Cassiopeia,Aphelios,Leona,Mordekaiser,Elise,Orianna,Miss Fortune,Braum,1
ESPORTSTMNT01/1270802,LFL,Spring,0,1,10.01,LDLC OL,Solary,Rumble,Qiyana,Senna,LeBlanc,Jarvan IV,Akali,Lucian,Elise,Camille,Zoe,Vladimir,Gragas,Yasuo,Miss Fortune,Nautilus,Ornn,Rek'Sai,Cassiopeia,Aphelios,Leona,1
ESPORTSTMNT01/1270814,LFL,Spring,0,1,10.01,Vitality.Bee,Team MCES,Leona,Qiyana,Aphelios,Lucian,Senna,Yasuo,Akali,Rakan,Aatrox,Gangplank,Rumble,Gragas,Ryze,Miss Fortune,Nautilus,Dr. Mundo,Jarvan IV,Cassiopeia,Sivir,Braum,1
ESPORTSTMNT05/1390161,LEC,Spring,0,1,10.01,G2 Esports,MAD Lions,Irelia,Rumble,Pantheon,LeBlanc,Thresh,Akali,Yasuo,Diana,Kayle,Rakan,Aatrox,Elise,Qiyana,Senna,Nautilus,Ornn,Lee Sin,Mordekaiser,Aphelios,Braum,1
ESPORTSTMNT05/1390170,LEC,Spring,0,1,10.01,SK Gaming,Team Vitality,Lucian,Jarvan IV,Renekton,Ryze,Zoe,Akali,Qiyana,Pantheon,Rumble,LeBlanc,Ornn,Rek'Sai,Vel'Koz,Aphelios,Braum,Aatrox,Lee Sin,Cassiopeia,Miss Fortune,Leona,1
ESPORTSTMNT05/1390196,LEC,Spring,0,1,10.01,Rogue,Misfits Gaming,Rumble,Olaf,Lucian,Jax,Mordekaiser,Akali,Pantheon,Draven,Ornn,Vladimir,Irelia,Gragas,Qiyana,Aphelios,Braum,Gangplank,Jarvan IV,LeBlanc,Senna,Nautilus,1
ESPORTSTMNT05/1390202,LEC,Spring,0,1,10.01,Excel Esports,FC Schalke 04 Esports,Thresh,Rumble,Rakan,LeBlanc,Zoe,Akali,Aphelios,Qiyana,Olaf,Lee Sin,Mordekaiser,Gragas,Yasuo,Varus,Braum,Ornn,Jarvan IV,Cassiopeia,Xayah,Nautilus,1
ESPORTSTMNT05/1390213,LEC,Spring,0,1,10.01,Fnatic,Origen,Lucian,Mordekaiser,Jarvan IV,Ornn,Yasuo,Akali,Pantheon,Senna,Olaf,Aatrox,Swain,Qiyana,Diana,Aphelios,Braum,Gangplank,Gragas,LeBlanc,Xayah,Rakan,0
ESPORTSTMNT02/1260525,LCS.A,Spring,0,1,10.01,Evil Geniuses Academy,Dignitas Academy,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,Akali,Rumble,Lucian,Pantheon,Renekton,Kennen,Lee Sin,Ornn,Aphelios,Nautilus,Aatrox,Elise,Zoe,Miss Fortune,Thresh,0
ESPORTSTMNT02/1270462,LCS.A,Spring,0,1,10.01,Cloud9 Academy,Team Liquid Academy,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,Akali,Lucian,Elise,Ryze,Pantheon,Ornn,Rek'Sai,Rumble,Varus,Thresh,Mordekaiser,Jarvan IV,Cassiopeia,Aphelios,Leona,1
ESPORTSTMNT02/1260533,LCS.A,Spring,0,1,10.01,TSM Academy,Immortals Academy,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,Rumble,Akali,Lucian,Cassiopeia,Zoe,Aatrox,Gragas,LeBlanc,Aphelios,Leona,Urgot,Lee Sin,Nautilus,Ezreal,Braum,0
ESPORTSTMNT02/1270475,LCS.A,Spring,0,1,10.01,FlyQuest Academy,CLG Academy,Elise,Lucian,Aphelios,Mordekaiser,Ryze,Akali,Cassiopeia,Senna,Varus,Fiora,Aatrox,Qiyana,Rumble,Kai'Sa,Thresh,Ornn,Jarvan IV,Orianna,Miss Fortune,Nautilus,1
ESPORTSTMNT02/1270478,LCS.A,Spring,0,1,10.01,Golden Guardians Academy,100 Thieves Academy,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,Akali,Rumble,Lucian,Mordekaiser,Lissandra,Aatrox,Lee Sin,Ryze,Aphelios,Braum,Camille,Rek'Sai,LeBlanc,Senna,Tahm Kench,1
ESPORTSTMNT05/1390233,LEC,Spring,0,1,10.01,Team Vitality,MAD Lions,Irelia,Pantheon,Ornn,LeBlanc,Sylas,Akali,Qiyana,Senna,Lee Sin,Olaf,Rumble,Rek'Sai,Cassiopeia,Varus,Braum,Mordekaiser,Jarvan IV,Zoe,Miss Fortune,Rakan,0
ESPORTSTMNT03/1301223,CBLOL,Split 1,0,1,10.01,paiN Gaming,Flamengo Esports,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,Gangplank,Rek'Sai,Rumble,Varus,Braum,Renekton,Lee Sin,Sylas,Xayah,Leona,0
ESPORTSTMNT05/1390241,LEC,Spring,0,1,10.01,Excel Esports,Rogue,Rakan,Qiyana,Thresh,LeBlanc,Jarvan IV,Akali,Lucian,Braum,Gragas,Lee Sin,Ornn,Taliyah,Pantheon,Aphelios,Nautilus,Mordekaiser,Olaf,Vladimir,Senna,Tahm Kench,0
ESPORTSTMNT03/1301228,CBLOL,Split 1,0,1,10.01,Prodigy Esports,Vivo Keyd,Olaf,Lucian,Renekton,Sylas,Aatrox,Akali,Qiyana,Taliyah,Camille,Irelia,Kennen,Elise,Rumble,Miss Fortune,Pantheon,Zac,Lee Sin,Ryze,Aphelios,Nautilus,1
ESPORTSTMNT05/1390249,LEC,Spring,0,1,10.01,Origen,FC Schalke 04 Esports,Rumble,Xayah,Jarvan IV,Pantheon,Ornn,Akali,Aphelios,Qiyana,Yasuo,Gangplank,Gnar,Gragas,LeBlanc,Senna,Nautilus,Renekton,Elise,Ryze,Varus,Braum,1
ESPORTSTMNT03/1301242,CBLOL,Split 1,0,1,10.01,INTZ,Redemption eSports Porto Alegre,Elise,Taliyah,Rumble,Yasuo,Olaf,Akali,Lucian,Miss Fortune,Ryze,Gragas,Mordekaiser,Rek'Sai,Jayce,Aphelios,Leona,Ornn,Karthus,Renekton,Varus,Nautilus,0
ESPORTSTMNT05/1390257,LEC,Spring,0,1,10.01,Fnatic,Misfits Gaming,Lucian,Rumble,Gangplank,LeBlanc,Jax,Akali,Pantheon,Senna,Veigar,Yasuo,Aatrox,Gragas,Diana,Aphelios,Braum,Nocturne,Lee Sin,Orianna,Miss Fortune,Leona,1
ESPORTSTMNT03/1301251,CBLOL,Split 1,0,1,10.01,FURIA Esports,KaBuM! e-Sports,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,Akali,Qiyana,Lucian,Irelia,Fiora,Renekton,Jarvan IV,Zoe,Aphelios,Nautilus,Aatrox,Nidalee,Kassadin,Senna,Leona,1
ESPORTSTMNT05/1390263,LEC,Spring,0,1,10.01,SK Gaming,G2 Esports,Lucian,Senna,Qiyana,LeBlanc,Diana,Akali,Pantheon,Aphelios,Thresh,Nautilus,Ornn,Jarvan IV,Cassiopeia,Miss Fortune,Leona,Aatrox,Lee Sin,Zoe,Xayah,Rakan,0
ESPORTSTMNT02/1270555,LCS,Spring,0,1,10.01,Cloud9,Team Liquid,Irelia,Ornn,Lucian,Ekko,Orianna,Akali,Qiyana,Rumble,Zoe,LeBlanc,Aatrox,Lee Sin,Veigar,Aphelios,Tahm Kench,Mordekaiser,Jarvan IV,Azir,Senna,Thresh,1
ESPORTSTMNT02/1270576,LCS,Spring,0,1,10.01,Counter Logic Gaming,Dignitas,Irelia,Qiyana,Gangplank,Aphelios,Varus,Akali,Lucian,Rumble,LeBlanc,Kennen,Ornn,Rek'Sai,Cassiopeia,Senna,Leona,Renekton,Elise,Viktor,Ashe,Tahm Kench,0
ESPORTSTMNT02/1270592,LCS,Spring,0,1,10.01,100 Thieves,Golden Guardians,Qiyana,Rumble,Senna,Vladimir,Lee Sin,Akali,Lucian,Aphelios,Lissandra,Elise,Gangplank,Gragas,Zoe,Miss Fortune,Leona,Ornn,Jarvan IV,LeBlanc,Varus,Braum,1
ESPORTSTMNT02/1270607,LCS,Spring,0,1,10.01,Immortals,FlyQuest,Rumble,Elise,Braum,Camille,Tahm Kench,Akali,Ornn,Qiyana,LeBlanc,Gragas,Aatrox,Trundle,Lucian,Cassiopeia,Thresh,Riven,Lee Sin,Viktor,Senna,Blitzcrank,0
ESPORTSTMNT02/1270641,LCS.A,Spring,0,1,10.01,Golden Guardians Academy,Cloud9 Academy,Elise,Qiyana,Irelia,Thresh,Cassiopeia,Akali,Lucian,Rumble,Yasuo,LeBlanc,Mordekaiser,Lee Sin,Viktor,Aphelios,Braum,Ornn,Olaf,Orianna,Miss Fortune,Zilean,1
ESPORTSTMNT03/1301276,CBLOL,Split 1,0,1,10.01,Flamengo Esports,Vivo Keyd,Olaf,Senna,Lucian,Pantheon,Miss Fortune,Akali,Aphelios,Rumble,Leona,Rakan,Renekton,Elise,Qiyana,Varus,Thresh,Vladimir,Taliyah,Camille,Xayah,Nautilus,1
ESPORTSTMNT03/1301284,CBLOL,Split 1,0,1,10.01,Prodigy Esports,FURIA Esports,Irelia,Rumble,Miss Fortune,Mordekaiser,Thresh,Akali,Lucian,Pantheon,Senna,Varus,Renekton,Elise,Qiyana,Ezreal,Braum,Gangplank,Gragas,Zoe,Aphelios,Leona,1
ESPORTSTMNT03/1301287,CBLOL,Split 1,0,1,10.01,Redemption eSports Porto Alegre,KaBuM! e-Sports,Mordekaiser,Akali,Lucian,Elise,Karthus,Taliyah,Rumble,Renekton,LeBlanc,Yasuo,Ornn,Rek'Sai,Orianna,Aphelios,Braum,Vladimir,Lee Sin,Irelia,Miss Fortune,Leona,1
ESPORTSTMNT03/1301300,CBLOL,Split 1,0,1,10.01,INTZ,paiN Gaming,Taliyah,Elise,Qiyana,Irelia,Sylas,Akali,Nautilus,Lucian,Rek'Sai,Renekton,Rumble,Trundle,Cassiopeia,Senna,Braum,Mordekaiser,Jarvan IV,LeBlanc,Aphelios,Thresh,0
ESPORTSTMNT02/1270837,LCS,Spring,0,1,10.01,Dignitas,Evil Geniuses,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,Rumble,Akali,Lucian,Elise,Olaf,Gangplank,Lee Sin,Orianna,Senna,Braum,Aatrox,Gragas,Azir,Aphelios,Tahm Kench,1
ESPORTSTMNT02/1270857,LCS,Spring,0,1,10.01,Team SoloMid,Immortals,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,Akali,Qiyana,Lucian,Olaf,Camille,Rumble,Lee Sin,LeBlanc,Senna,Tahm Kench,Aatrox,Elise,Zoe,Ezreal,Braum,0
ESPORTSTMNT02/1270866,LCS,Spring,0,1,10.01,Golden Guardians,Cloud9,Elise,Irelia,Lucian,LeBlanc,Gangplank,Akali,Rumble,Qiyana,Vladimir,Orianna,Aatrox,Rek'Sai,Diana,Senna,Tahm Kench,Camille,Lee Sin,Zoe,Aphelios,Nautilus,0
ESPORTSTMNT02/1270874,LCS,Spring,0,1,10.01,FlyQuest,Counter Logic Gaming,Lucian,Elise,Qiyana,LeBlanc,Ornn,Akali,Riven,Lee Sin,Thresh,Orianna,Aatrox,Rek'Sai,Rumble,Leona,Aphelios,Camille,Jarvan IV,Zoe,Senna,Nautilus,1
ESPORTSTMNT02/1270886,LCS.A,Spring,0,1,10.01,CLG Academy,Dignitas Academy,Mordekaiser,Tahm Kench,Jarvan IV,Zoe,Orianna,Akali,Rumble,Lucian,Pantheon,LeBlanc,Ornn,Elise,Irelia,Draven,Nautilus,Aatrox,Olaf,Sylas,Miss Fortune,Thresh,0
